HT_GB_SH_NA_DNA_VM_HO-7nvE0,HT_NA_NA_NA_DNA_VM_HO-AotMh,HT_NA_NA_NA_DNA_VM_HO-BjARE,HT_GB_SH_NA_DNA_VM_HO-uL9YZ,HT_GB_SH_NA_DNA_VM_HO-zbqiU,GN_GB_ND_SH_DNA_VM_HO-Cv7xc,GN_GB_ND_SH_DNA_VM_HO-Db5kr,HT_GB_SH_NA_DNA_VM_HO-93Oix
12.77555556,7.525930241,7.004827631,13.9,5.743999994,6.856610169,6.720063694,6.76059322
10.1,7.511863665,4.78000021,14,9.423880539,7.947003155,7.707309942,7.574042574
10.1,7.325374454,4.78000021,13.6,6.310043679,7.89047619,7.775,7.246413507
12.96129032,6.883504234,4.869999886,13.8,6.711353712,7.994670846,7.601801802,8.250212771
12.8,7.039296839,4.809999943,13.7,6.708860753,8.0090625,7.802108434,9.59008616
12.87037037,6.8960905,4.820000172,13.7,6.71861471,6.393729373,6.420792079,8.131330468
12.89487179,6.591229039,6.084330388,13.6,6.987224669,7.453432836,7.126060606,8.337826084
10.1,6.553349744,4.820000172,13.7,7.113419906,7.48757764,7.1771261,8.806329126
12.86444444,9.583571366,7.463000107,13.8,8.458296004,7.523602484,7.20619195,8.620434809
12.94,5.039999962,4.679999828,14,7.597446803,7.727848101,7.351506024,8.521518955
10.1,7.470000029,4.78000021,13.7,7.782553216,7.789341693,7.386011905,8.691914911
12.89302326,5.039999962,4.78000021,14,8.185964952,7.4840625,6.726586103,9.558515253
12.98095238,4.989999771,4.739999771,13.8,8.279310366,5.401393728,5.538513514,9.153813548
12.94210526,5.109999895,4.760000229,13.7,8.570869599,7.98474026,7.763496933,9.321702148
12.82758621,5.039999962,4.760000229,13.9,8.913419907,7.958412698,7.600911854,8.83025208
12.86923077,5.079999924,4.760000229,14,8.847679331,8.139263804,7.66554878,9.170212754
12.81777778,6.629642842,8.133076943,13.9,9.074778721,8.13404908,7.533030303,8.912765955
12.83478261,5,4.679999828,13.9,10.77423578,8.174598071,7.610946746,9.284810135
12.99534884,8.265000057,4.71999979,13.8,9.548497826,8.362101911,8.103293413,8.969130466
13.05777778,4.929999828,4.690000057,13.8,9.809401712,7.961370717,7.729117647,7.503896148
12.95384615,4.889999866,4.610000134,14.56196319,10.06753246,7.802302632,7.354654655,8.944017109
