Powerhouse/Unit:,LO-39,JC-99,LO-93,LO-64,QW-13,LO-71,LO-72,LO-28,LO-84,TT-63,TT-67,QW-54,LI-67,JC-52,QW-91,LO-44,HJ-80,QW-92,JC-43,QW-56,QW-15,QW-94,QW-82,LO-59,QW-97,ZR-71,LO-91,QW-05,LO-21,QW-10,QW-76,HJ-30
2015-12-10 00:00:00+00:00,-0.200000003,14.28567911,75.90883339,46.32932166,0.0,68.36253812,130.20263,68.92679149,2.426757812,31.10033544,0.0,0.0,16.7172569,-0.000732455,0.0,69.27312258,-1.097614883,0.0,15.8936749,0.0,0.0,0.0,0.0,-0.166666669,0.0,9.53069802,124.4897174,0.0,71.41567913,0.0,0.0,0.0
2015-12-11 00:00:00+00:00,-0.200000003,17.42437246,73.12057231,47.49111671,0.0,71.44809777,131.0900507,69.32902847,51.44449463,30.98321414,0.0,0.0,10.113576,-0.000732455,0.0,72.30090902,-1.105084158,0.0,18.5095294,0.0,0.0,0.0,0.0,-0.133333335,0.0,9.535722853,124.6608524,0.0,74.95048239,0.0,0.0,0.0
2015-12-12 00:00:00+00:00,-0.200000003,17.30964539,68.0114493,45.35496107,0.0,64.78136967,131.4955375,67.66586605,70.49771099,30.8697787,0.0,0.0,24.51946277,-0.000732455,0.0,67.82453792,-1.111503595,0.0,17.85989524,0.0,0.0,0.0,0.0,-0.133333335,0.0,8308.736451,125.2769378,0.0,69.58614173,0.0,0.0,0.0
2015-12-13 00:00:00+00:00,-0.200000003,15.40403547,63.10763015,41.74973529,0.0,56.71975793,116.2061929,65.76502264,64.2468269,16.97195984,0.0,0.0,4.443612335,-0.000732455,0.0,59.46169727,-1.112772041,0.0,15.76895776,0.0,0.0,0.0,0.0,-0.166666669,0.0,54261.04644,124.4270535,0.0,59.09089221,0.0,0.0,0.0
2015-12-14 00:00:00+00:00,-0.200000003,17.57737433,77.39190464,50.09344674,0.0,73.09064734,129.559164,74.06459638,77.82405326,19.62424199,0.0,0.0,3.630767918,-0.000732455,0.0,75.99247923,-1.103905746,0.0,18.32896718,0.0,0.0,0.0,0.0,-0.133333335,0.0,21062.84254,123.9114023,0.0,65.84916831,0.0,0.0,0.0
2015-12-15 00:00:00+00:00,-0.200000003,17.64635991,76.94414033,48.97290107,0.0,72.52218082,130.3459482,72.28628325,76.82919502,14.72693364,0.0,0.0,30.34055742,-0.000732455,0.0,76.1603923,0.115234645,0.0,19.40815458,0.0,0.0,0.0,0.0,-0.100000001,0.0,9.553197101,124.0727742,0.0,2.472515869,0.0,0.0,0.0
2015-12-16 00:00:00+00:00,-0.200000003,17.58915429,88.29381884,55.62584627,0.0,79.20306548,130.9114435,78.95213836,85.87636954,29.38811119,0.0,0.0,12.08231481,-0.000732455,0.0,84.26820739,3.523013558,0.0,17.92104161,0.0,0.0,0.0,0.0,-0.100000001,0.0,9.251756196,124.3149818,0.0,2.426727295,0.0,0.0,0.0
2015-12-17 00:00:00+00:00,-0.200000003,17.42937621,88.35424826,55.60201892,0.0,82.01673877,131.3356207,81.53605059,87.37643419,29.36740677,0.0,0.0,21.03376191,-0.000732455,0.0,86.23332126,3.302256245,0.0,18.29493737,0.0,0.0,0.0,0.0,-0.100000001,0.0,9.095660250000002,124.5563265,0.0,2.533569336,0.0,0.0,0.0
2015-12-18 00:00:00+00:00,-0.200000003,17.404235,86.02697605,55.56746795,0.0,81.25862562,131.6587215,80.83779044,86.44730539,25.94055627,0.0,0.0,10.17256312,-0.000732455,0.0,85.29054556,3.451253197,0.0,17.69669407,0.0,0.0,0.0,0.0,-0.166666669,0.0,9.250518136999998,125.1363837,0.0,43.7168222,0.0,0.0,0.0
2015-12-19 00:00:00+00:00,-0.200000003,18.78233062,72.19384622,49.34863391,0.0,70.83476096,131.7106627,71.14737754,73.88442354,28.29383653,0.0,0.0,24.37090571,-0.000732455,0.0,72.67683827,6.117233638,0.0,18.16856889,0.0,0.0,0.0,0.0,-0.200000003,0.0,9.019645736,125.4753329,0.0,73.01597554,0.0,0.0,0.0
2015-12-20 00:00:00+00:00,-0.200000003,18.04660549,68.2851522,43.80020892,0.0,63.97069238,131.7633171,67.25666055,70.01651445,26.77282187,0.0,0.0,2.574573082,-0.000732455,0.0,68.7880784,2.853285659,0.0,0.0,0.0,0.0,0.0,0.0,-0.166666669,0.0,4656.380468,125.0608459,0.0,69.19215237,0.0,0.0,0.0
2015-12-21 00:00:00+00:00,-0.200000003,18.13757025,70.85558566,46.79328179,0.0,68.42056329,130.1953523,69.26078249,72.65541409,26.83376527,0.0,0.0,10.91503864,-0.000732455,0.0,71.16792042,6.433639738,0.0,18.86339578,0.0,0.0,0.0,0.0,-0.200000003,0.0,9.227750088,0.0,0.0,71.21056046,0.0,0.0,0.0
2015-12-22 00:00:00+00:00,-0.200000003,15.58181985,65.04714521,42.71854879,0.0,55.11786413,129.957756,67.92664195,68.12476547,29.27118913,0.0,0.0,39.1704671,-0.000732455,0.0,66.87564468,-1.109507428,0.0,15.92848698,0.0,0.0,0.0,0.0,-0.200000003,0.0,9.390094452,0.0,0.0,68.32185522,0.0,0.0,0.0
2015-12-23 00:00:00+00:00,-0.200000003,16.51324671,93.25307269,61.13331847,0.0,49.78830709,130.6534771,73.87826275,89.10145696,29.27868379,0.0,0.0,36.83288738,-0.000732455,0.0,88.03217428,-0.727492095,0.0,17.27677988,0.0,0.0,0.0,0.0,-0.200000003,0.0,9.242515888,0.0,0.0,76.22250307,0.0,0.0,0.0
2015-12-24 00:00:00+00:00,-0.200000003,16.52579907,69.96596072,49.85089927,0.0,65.89646809,128.6313811,69.45965481,63.3893887,29.33963056,0.0,0.0,37.97732505,-0.000732455,0.0,66.78298436,-1.120196413,0.0,17.07227264,0.0,0.0,0.0,0.0,-0.200000003,0.0,9.154351449,0.0,0.0,67.88391136,0.0,0.0,0.0
2015-12-25 00:00:00+00:00,-0.200000003,16.34921293,66.98232588,41.86783204,0.0,63.81533463,131.2458207,66.1567476,2.459463937,28.60980991,0.0,0.0,46.45781923,-0.000732455,0.0,68.17255315,-1.144769483,0.0,16.92107322,0.0,0.0,0.0,0.0,-0.200000003,0.0,41910.89996,0.0,0.0,68.03651512,0.0,0.0,0.0
2015-12-26 00:00:00+00:00,-0.200000003,17.09442601,65.48475693,45.42227941,0.0,61.4789976,129.6885239,66.62925883,67.52763927,25.84982029,0.0,0.0,29.17464593,-0.000732455,0.0,67.57201741,-1.124221453,0.0,16.79647049,0.0,0.0,0.0,0.0,-0.200000003,0.0,1387604.818,0.0,0.0,68.05880329,0.0,0.0,0.0
